#{"t_start": 1673387625.797152, "env_id": "MiniGrid-Empty-Random-6x6-v0"}
r,l,t
0,144,14.992105
0.775,36,15.146637
0,144,18.460333
0.45625,87,21.56557
0.7375,42,21.755513
0.95625,7,21.785654
0.98125,3,21.799104
0.65625,55,24.712233
0.80625,31,24.848481
0.21875,125,28.079535
0.675,52,28.313913
0.85,24,28.432645
0.8875,18,28.506371
0.85625,23,31.331746
0.90625,15,31.395937
0.6625,54,31.717026
0.7875,34,31.868517
0.95,8,34.605984
0.975,4,34.624672
0.78125,35,34.777658
0.975,4,34.796744
0.84375,25,34.919552
0.89375,17,35.019166
0.825,28,35.141589
0.84375,25,37.932964
0.86875,21,38.024641
0.76875,37,38.200119
0.9625,6,38.226709
0.9125,14,38.308663
0.975,4,38.325574
0.9375,10,38.367896
0.9625,6,38.393187
0.9375,10,38.436045
0.91875,13,41.215869
0.94375,9,41.25601
0.9625,6,41.282475
0.95625,7,41.31363
0.93125,11,41.360615
0.96875,5,41.384252
0.9125,14,41.458026
0.925,12,41.551035
0.94375,9,41.608281
0.94375,9,41.647141
0.95,8,41.680339
0.9375,10,41.723513
0.93125,11,41.770468
0.9375,10,55.801391
0.83125,27,55.939085
0.9375,10,55.986748
0.76875,37,56.168529
0.96875,5,56.250384
0.9125,14,56.332642
0.95,8,56.372272
0.95,8,56.416521
0.9375,10,56.463135
0.9875,2,56.474434
0.925,12,59.333672
0.9625,6,59.378528
0.96875,5,59.402384
0.94375,9,59.443619
0.9625,6,59.473087
0.975,4,59.492669
0.9875,2,59.501548
0.9625,6,59.531064
0.975,4,59.554776
0.8875,18,59.67279
0.9125,14,59.734528
0.975,4,59.753221
0.9,16,59.833588
0.9875,2,59.843263
0.9375,10,59.885921
0.9625,6,59.91636
0.91875,13,62.74533
0.9375,10,62.793918
0.96875,5,62.8171
0.9875,2,62.826879
0.95,8,62.864128
0.98125,3,62.876764
0.96875,5,62.898978
0.98125,3,62.913063
0.95,8,62.951908
0.91875,13,63.015218
0.90625,15,63.085055
0.94375,9,63.147842
0.95625,7,63.180185
0.925,12,63.233231
