{'algo': 'ppo', 'env': 'MiniGrid-RedBlueDoors-6x6-v0', 'model': 'MiniGrid-WallGapS6-v0_RIMs_6_4_proc_16_RMSProp_lr_7e4_gae_099_test_MiniGrid-DoorKey-6x6-v0_alt', 'seed': 1, 'log_interval': 1, 'save_interval': 10, 'procs': 16, 'frames': 5000000.0, 'epochs': 4, 'batch_size': 256, 'frames_per_proc': 128, 'discount': 0.99, 'lr': 0.0007, 'gae_lambda': 0.99, 'entropy_coef': 0.01, 'value_loss_coef': 0.5, 'max_grad_norm': 0.5, 'optim_eps': 1e-08, 'optim_alpha': 0.99, 'clip_eps': 0.2, 'recurrence': 32, 'text': False, 'use_rim': True, 'mem': True, 'num_units': 6, 'k': 4}

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (memory_rnn): RIMCell(
    (key): Linear(in_features=64, out_features=64, bias=True)
    (value): Linear(in_features=64, out_features=64, bias=True)
    (rnn): GroupLSTMCell(
      (i2h): GroupLinearLayer()
      (h2h): GroupLinearLayer()
    )
    (query): GroupLinearLayer()
    (query_): GroupLinearLayer()
    (key_): GroupLinearLayer()
    (value_): GroupLinearLayer()
    (comm_attention_output): GroupLinearLayer()
    (comm_dropout): Dropout(p=0.1, inplace=False)
    (input_dropout): Dropout(p=0.1, inplace=False)
  )
  (actor): Sequential(
    (0): Linear(in_features=60, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=60, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded

U 551 | F 1128448 | FPS 0410 | D 4 | rR:μσmM 0.11 0.30 0.00 0.94 | F:μσmM 17.7 30.6 0.0 125.0 | H 1.666 | V 0.461 | pL 0.210 | vL 0.019 | ∇ 0.149
U 552 | F 1130496 | FPS 0422 | D 9 | rR:μσmM 0.11 0.30 0.00 0.94 | F:μσmM 22.1 32.8 0.0 125.0 | H 1.684 | V 0.288 | pL 0.154 | vL 0.003 | ∇ 0.085
U 553 | F 1132544 | FPS 0446 | D 14 | rR:μσmM 0.28 0.37 0.00 0.94 | F:μσmM 87.2 115.7 0.0 351.0 | H 1.736 | V 0.222 | pL 0.082 | vL 0.007 | ∇ 0.060
U 554 | F 1134592 | FPS 0471 | D 18 | rR:μσmM 0.44 0.34 0.00 0.91 | F:μσmM 215.9 162.1 14.0 491.0 | H 1.769 | V 0.168 | pL 0.044 | vL 0.010 | ∇ 0.051
U 555 | F 1136640 | FPS 0463 | D 23 | rR:μσmM 0.35 0.30 0.00 0.89 | F:μσmM 319.1 223.2 25.0 627.0 | H 1.799 | V 0.166 | pL 0.020 | vL 0.018 | ∇ 0.064
U 556 | F 1138688 | FPS 0403 | D 28 | rR:μσmM 0.26 0.37 0.00 0.88 | F:μσmM 281.1 276.5 19.0 720.0 | H 1.793 | V 0.133 | pL 0.012 | vL 0.021 | ∇ 0.084
U 557 | F 1140736 | FPS 0411 | D 33 | rR:μσmM 0.25 0.38 0.00 0.92 | F:μσmM 85.2 70.5 8.0 207.0 | H 1.808 | V 0.116 | pL 0.003 | vL 0.022 | ∇ 0.100
U 558 | F 1142784 | FPS 0414 | D 38 | rR:μσmM 0.23 0.36 0.00 0.93 | F:μσmM 109.1 125.2 8.0 527.0 | H 1.799 | V 0.100 | pL 0.007 | vL 0.014 | ∇ 0.073
U 559 | F 1144832 | FPS 0379 | D 43 | rR:μσmM 0.27 0.36 0.00 0.93 | F:μσmM 167.6 189.8 11.0 720.0 | H 1.811 | V 0.092 | pL 0.005 | vL 0.011 | ∇ 0.052
U 560 | F 1146880 | FPS 0389 | D 48 | rR:μσmM 0.12 0.25 0.00 0.93 | F:μσmM 173.3 238.2 4.0 720.0 | H 1.835 | V 0.062 | pL -0.003 | vL 0.012 | ∇ 0.057
Status saved
U 561 | F 1148928 | FPS 0390 | D 54 | rR:μσmM 0.20 0.31 0.00 0.81 | F:μσmM 128.2 148.8 4.0 492.0 | H 1.840 | V 0.096 | pL -0.029 | vL 0.022 | ∇ 0.080
