{'algo': 'ppo', 'env1': 'MiniGrid-WallGapS6-v0', 'env2': 'MiniGrid-DoorKey-6x6-v0', 'model': 'MiniGrid-WallGapS6-v0_alt_MiniGrid-DoorKey-6x6-v0_metaRIMs_6_4_proc_16_RMSProp_inputvalue_64_inputheads_1_batch_256_nxt_MiniGrid-RedBlueDoors-6x6-v0_1M_mid', 'interlaced': True, 'early_stop': False, 'seed': 1, 'log_interval': 1, 'save_interval': 10, 'procs': 16, 'frames': 1000000.0, 'epochs': 4, 'batch_size': 256, 'frames_per_proc': 128, 'discount': 0.99, 'lr': 0.0007, 'gae_lambda': 0.99, 'entropy_coef': 0.01, 'value_loss_coef': 0.5, 'max_grad_norm': 0.5, 'optim_eps': 1e-08, 'optim_alpha': 0.99, 'clip_eps': 0.2, 'recurrence': 32, 'text': False, 'use_rim': True, 'mem': True, 'num_units': 6, 'k': 4, 'input_heads': 1}

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (memory_rnn): RIMCell(
    (key): Linear(in_features=64, out_features=64, bias=True)
    (value): Linear(in_features=64, out_features=64, bias=True)
    (rnn): GroupLSTMCell(
      (i2h): GroupLinearLayer()
      (h2h): GroupLinearLayer()
    )
    (query): GroupLinearLayer()
    (query_): GroupLinearLayer()
    (key_): GroupLinearLayer()
    (value_): GroupLinearLayer()
    (comm_attention_output): GroupLinearLayer()
    (comm_dropout): Dropout(p=0.1, inplace=False)
    (input_dropout): Dropout(p=0.1, inplace=False)
  )
  (actor): Sequential(
    (0): Linear(in_features=60, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=60, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded

U 1 | F 004096 | FPS 0458 | D 13 | rR:μσmM 0.06 0.14 0.00 0.55 | F:μσmM 145.0 34.7 72.0 272.0 | H 1.941 | V 0.034 | pL -0.001 | vL 0.002 | ∇ 0.027
U 2 | F 008192 | FPS 0399 | D 24 | rR:μσmM 0.04 0.12 0.00 0.55 | F:μσmM 283.3 153.3 72.0 496.0 | H 1.945 | V 0.010 | pL 0.006 | vL 0.000 | ∇ 0.003
U 3 | F 012288 | FPS 0463 | D 33 | rR:μσmM 0.10 0.24 0.00 0.97 | F:μσmM 203.4 131.8 5.0 768.0 | H 1.932 | V 0.017 | pL -0.001 | vL 0.006 | ∇ 0.018
U 4 | F 016384 | FPS 0471 | D 41 | rR:μσmM 0.04 0.10 0.00 0.43 | F:μσmM 267.6 37.4 144.0 319.0 | H 1.942 | V 0.011 | pL 0.006 | vL 0.001 | ∇ 0.007
U 5 | F 020480 | FPS 0484 | D 50 | rR:μσmM 0.13 0.24 0.00 0.76 | F:μσmM 158.3 118.9 39.0 688.0 | H 1.935 | V 0.024 | pL -0.021 | vL 0.010 | ∇ 0.055
U 6 | F 024576 | FPS 0503 | D 58 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 227.5 125.3 13.0 360.0 | H 1.945 | V 0.021 | pL 0.010 | vL 0.000 | ∇ 0.003
U 7 | F 028672 | FPS 0467 | D 67 | rR:μσmM 0.10 0.21 0.00 0.73 | F:μσmM 172.3 117.4 43.0 725.0 | H 1.942 | V 0.011 | pL 0.011 | vL 0.000 | ∇ 0.005
U 8 | F 032768 | FPS 0461 | D 76 | rR:μσmM 0.11 0.19 0.00 0.67 | F:μσmM 243.8 103.2 53.0 391.0 | H 1.944 | V 0.016 | pL -0.002 | vL 0.001 | ∇ 0.022
U 9 | F 036864 | FPS 0434 | D 85 | rR:μσmM 0.20 0.31 0.00 0.89 | F:μσmM 147.5 131.0 17.0 768.0 | H 1.937 | V 0.073 | pL -0.041 | vL 0.015 | ∇ 0.022
U 10 | F 040960 | FPS 0327 | D 98 | rR:μσmM 0.07 0.17 0.00 0.59 | F:μσmM 246.1 107.5 95.0 469.0 | H 1.935 | V 0.048 | pL 0.011 | vL 0.002 | ∇ 0.014
Status saved
U 11 | F 045056 | FPS 0461 | D 106 | rR:μσmM 0.30 0.36 0.00 0.95 | F:μσmM 125.3 118.5 8.0 768.0 | H 1.916 | V 0.111 | pL -0.059 | vL 0.030 | ∇ 0.067
U 12 | F 049152 | FPS 0424 | D 116 | rR:μσmM 0.14 0.25 0.00 0.91 | F:μσmM 241.2 118.1 14.0 422.0 | H 1.928 | V 0.071 | pL 0.038 | vL 0.001 | ∇ 0.009
